"Property ID","Property Type","Full Address","Address 1","Address 2",City,ZIP,State,Status,Specialist,"Sale Date",Price,"Down 1","Better price","Down 2","Best price","Down 3","Monthly Lease",Beds,Baths,Sq.Ft,Lot,Garage,"Year Built","Property Shown",County,Subdivision,"Date Inspected"
205090,Land,"Address:
      
        0 Evergreen Dr. Lot 2
              
        Locality:
    
                      77868 TX
            United States","0 Evergreen Dr. Lot 2",,Navasota,77868,TX,Available,,"Tuesday, February 22, 2022",,,,,,,,,,,,,,✔,Grimes,"BLUEBONNET CRTY",2022-02-22
158239,Land,"Address:
      
        3508 CASCADE CT/ 6615 CLEARWATER DR
              
        Locality:
    
                     27410 NC
            United States","3508 CASCADE CT/ 6615 CLEARWATER DR",,Oxford,27410,NC,Available,,,"39,999","1,500","38,999","2,500","37,999",3500.00,,,,"40,075",,,,✔,Granville,,2023-02-09
158233,Land,"Address:
      
        6614 Clearwater Dr
                  Lots 14 & 15
              
        Locality:
    
                     27565 NC
            United States","6614 Clearwater Dr","Lots 14 & 15",Salem,27565,NC,Available,,"Thursday, October 26, 2017","59,999","2,850","58,999","3,850","57,999",4850.00,,,,"80,150",,,,✔,Granville,,2023-02-09
158235,Land,"Address:
      
        6609 Clearwater Ln
                  (AKA 6604 Clearwater Ln)
              
        Locality:
    
                     27565 NC
            United States","6609 Clearwater Ln","(AKA 6604 Clearwater Ln)",Salem,27565,NC,Available,,"Thursday, October 26, 2017","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"40,075",,,,✔,Granville,,2023-02-09
158236,Land,"Address:
      
        6607 Clearwater Dr
              
        Locality:
    
                     27565 NC
            United States","6607 Clearwater Dr",,Salem,27565,NC,Available,,"Thursday, October 26, 2017","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"40,510",,,,✔,Granville,,2023-02-09
158256,Land,"Address:
      
        3208 Scotch Pine Ct. Lot 245
              
        Locality:
    
                     27565 NC
            United States","3208 Scotch Pine Ct. Lot 245",,"Wake Forest",27565,NC,Available,,"Thursday, August 11, 2022","79,900","2,499","78,900","3,499","77,900",4499.00,,,,"69,696",,,,✔,Granville,,2023-02-08
158240,Land,"Address:
      
        3510 CASCADE CT
              
        Locality:
    
                     27565 NC
            United States","3510 CASCADE CT",,Salem,27565,NC,Available,,"Thursday, March 15, 2018",,,,,,,,,,"46,173",,,,✔,Granville,,2023-02-09
158280,Land,"Address:
      
        0 Seven Springs Subdivision
                  50+ Acres
              
        Locality:
    
                     27565 NC
            United States","0 Seven Springs Subdivision","50+ Acres",Salem,27565,NC,Available,,"Monday, December 17, 2018","379,999","20,000","377,999","24,999","374,999",29000.00,,,,,,,,✔,Granville,"Seven Springs",2023-02-09
158243,Land,"Address:
      
        6629 Clearwater Dr
              
        Locality:
    
                     27565 NC
            United States","6629 Clearwater Dr",,Salem,27565,NC,Sold,"Gabriela Espinoza","Tuesday, February 28, 2023","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"48,351",,,,✔,Granville,,2023-02-09
158234,Land,"Address:
      
        0 CASCADE CT & 0 PEBBLE LANE
              
        Locality:
    
                     27565 NC
            United States","0 CASCADE CT & 0 PEBBLE LANE",,Salem,27565,NC,Available,,"Thursday, February 14, 2019",,,,,,,,,,,,,,✔,Gransville,,2023-02-09
158244,Land,"Address:
      
        3502 Chewning Rd
              
        Locality:
    
                     27565 NC
            United States","3502 Chewning Rd",,Salem,27565,NC,Available,,"Tuesday, November 02, 2021","42,999","1,850","41,999","2,850","40,999",3850.00,,,,"43,124",,,,✔,Granville,,2023-02-09
158248,Land,"Address:
      
        7186 Bayberry Dr
                  AKA 7086 Bayberry Dr
              
        Locality:
    
                     27565 NC
            United States","7186 Bayberry Dr","AKA 7086 Bayberry Dr",Oxford,27565,NC,Available,,,"39,999","1,500","38,999","2,500","37,999",3500.00,,,,"43,560",,,,✔,Granville,,2023-02-08
158247,Land,"Address:
      
        7119 HAMPTON DR
              
        Locality:
    
                     27565 NC
            United States","7119 HAMPTON DR",,Salem,27565,NC,Available,,"Thursday, November 09, 2017","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"43,560",,,,✔,Granville,,2023-02-09
158250,Land,"Address:
      
        7083 BAYBERRY DR
              
        Locality:
    
                     27565 NC
            United States","7083 BAYBERRY DR",,Oxford,27565,NC,Available,,"Monday, August 14, 2023","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"43,560",,,,✔,Granville,,2023-02-08
158251,Land,"Address:
      
        7092 Porter Dr
              
        Locality:
    
                     27565 NC
            United States","7092 Porter Dr",,Oxford,27565,NC,Available,,,"36,999","1,350","35,999","2,350","34,999",3350.00,,,,"43,560",,,,✔,Granville,,2023-02-08
158254,Land,"Address:
      
        7079 BAYBERRY DR
              
        Locality:
    
                     27565 NC
            United States","7079 BAYBERRY DR",,Oxford,27565,NC,Available,"Cynthia Garcia","Friday, January 15, 2021","47,999",599,"46,999","1,499","44,999",2999.00,,,,"43,560",,,,✔,Granville,,2023-02-08
158255,Land,"Address:
      
        7075 BAYBERRY DR
              
        Locality:
    
                     27565 NC
            United States","7075 BAYBERRY DR",,Oxford,27565,NC,Sold,"Martha L Cortes","Wednesday, April 08, 2020","47,999",599,"46,999","1,499","44,999",2999.00,,,,"43,560",,,,✔,Granville,,2023-02-08
158232,Land,"Address:
      
        6626 Clearwater Dr
              
        Locality:
    
                     27565 NC
            United States","6626 Clearwater Dr",,Salem,27565,NC,Available,,"Thursday, November 02, 2017","36,999","1,350","37,999","2,350","38,999",3350.00,,,,"40,510",,,,✔,Granville,,2023-02-09
158241,Land,"Address:
      
        3513 Cascade Ct
              
        Locality:
    
                     27565 NC
            United States","3513 Cascade Ct",,Oxford,27565,NC,Sold,"Martha L Cortes","Wednesday, April 12, 2023","37,999",999,"36,999","2,000","35,999",3000.00,,,,"54,885",,,,✔,Granville,,2023-02-09
158245,Land,"Address:
      
        7110 HAMPTON RD
              
        Locality:
    
                     27565 NC
            United States","7110 HAMPTON RD",,Oxford,27565,NC,Available,,"Thursday, July 05, 2018","44,900","1,800","43,900","3,000","42,999",4500.00,,,,"43,560",,,,✔,Granville,,2023-02-09
158288,Land,"Address:
      
        0 Buckhorn Ln
                  Lot 211
              
        Locality:
    
                     27587 NC
            United States","0 Buckhorn Ln","Lot 211","Wake Forest",27587,NC,Available,,"Tuesday, August 23, 2022",,,,,,,,,,"47,200",,,,✔,Granville,"Willow CK",2022-08-23
,Land,"Address:
      
        3144 Virginia Pine Ct
              
        Locality:
    
                     27587 NC
            United States","3144 Virginia Pine Ct",,"Wake Forest",27587,NC,Available,,,"139,999","1,999","138,999","3,500","137,777",4999.00,,,,,60113,,,✔,Granville,Brassfield,2023-08-09
158289,Land,"Address:
      
        3144 Buckhorn Ln
                  Lot 212
              
        Locality:
    
                     27587 NC
            United States","3144 Buckhorn Ln","Lot 212","Wake Forest",27587,NC,Sold,"Valarie Armenta","Monday, July 03, 2023","53,999",799,"52,999","1,999","51,999",3500.00,,,,"41,500",41500,,,✔,Granville,"Willow CK",2022-08-23
158172,Land,"Address:
      
        7108 Hampton Rd.
              
        Locality:
    
                     27597 NC
            United States","7108 Hampton Rd.",,Oxford,27597,NC,Available,,,,,,,,,,,,"41,817",,,,✔,Granville,,2023-02-09
158102,Land,"Address:
      
        13116 & 13106 Stells Ct.
              
        Locality:
    
                     27597 NC
            United States","13116 & 13106 Stells Ct.",,Zebulon,27597,NC,Available,,,"134,900","5,700","133,900","6,700","132,900",7700.00,,,,"94,525",,,,✔,NASH,,2023-02-08
158034,Land,"Address:
      
        6714 & 6736 Pinecrest Rd.
              
        Locality:
    
                     27597 NC
            United States","6714 & 6736 Pinecrest Rd.",,Zebulon,27597,NC,"Sale Pending","Gabriela Espinoza","Friday, September 01, 2023","149,999","6,500","148,999","7,500","147,999",8500.00,,,,,150282,,,✔,NASH,,2023-02-08
158037,Land,"Address:
      
        6991 Little Creek Rd
              
        Locality:
    
                     27597 NC
            United States","6991 Little Creek Rd",,Zebulon,27597,NC,Available,,,"79,999","1,495","78,999","2,999","77,777",4999.00,,,,,30928,,,✔,Nash,"Little Creek",2023-08-09
158265,Land,"Address:
      
        6535 RIPPLE RD
              
        Locality:
    
                     27816 NC
            United States","6535 RIPPLE RD",,Castalia,27816,NC,Available,,"Wednesday, June 06, 2018","35,999","1,375","34,999","2,375","33,999",3375.00,,,,"30,056",,,,✔,Nash,,2023-02-08
158277,Land,"Address:
      
        6421 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6421 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,900",4200.00,,,,"30,492",,,,✔,Nash,,2023-02-08
158276,Land,"Address:
      
        6445 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6445 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"30,492",,,,✔,Nash,,2023-02-08
158275,Land,"Address:
      
        6491 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6491 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"30,927",,,,✔,Nash,,2023-02-08
158274,Land,"Address:
      
        6521 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6521 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"30,492",,,,✔,Nash,,2023-02-08
158273,Land,"Address:
      
        6543 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6543 Branch Ct",,Castalia,27816,NC,Available,,,"39,999","1,900","38,999","2,900","37,999",4000.00,,,,"31,798",,,,✔,Nash,,2023-02-08
158272,Land,"Address:
      
        6500 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6500 Branch Ct",,Castalia,27816,NC,Available,,,"47,999","2,200","46,999","3,200","45,999",4500.00,,,,"41,382",,,,✔,Nash,,2023-02-08
158271,Land,"Address:
      
        6464 Branch Ct
              
        Locality:
    
                     27816 NC
            United States","6464 Branch Ct",,Castalia,27816,NC,Available,,,"56,900","2,650","55,900","3,700","54,900",5000.00,,,,"60,112",,,,✔,Nash,,2023-02-08
158268,Land,"Address:
      
        6465 RIPPLE RD
              
        Locality:
    
                     27816 NC
            United States","6465 RIPPLE RD",,Castalia,27816,NC,Available,"Cynthia Garcia","Friday, February 12, 2021","39,999",599,"38,999","1,599","37,999",2599.00,,,,"30,927",,,,✔,Nash,,2023-02-08
