"Property ID","Property Type","Full Address","Address 1","Address 2",City,ZIP,State,Status,Specialist,"Sale Date",Price,"Down 1","Better price","Down 2","Best price","Down 3","Monthly Lease",Beds,Baths,Sq.Ft,Lot,Garage,"Year Built","Property Shown",County,Subdivision,"Date Inspected",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
205090,Land,"Address:
      
        0 Evergreen Dr. Lot 2
              
        Locality:
    
                      77868 TX
            United States","0 Evergreen Dr. Lot 2",,Navasota,77868,TX,Available,,"Tuesday, February 22, 2022",,,,,,,,,,,,,,✔,Grimes,"BLUEBONNET CRTY",2022-02-22,30.282444,-95.921109,0.7,street_center,,"Evergreen Forest Ln",Lot,2,Navasota,TX,"Grimes County",77868,US,"TIGER/Line® dataset from the US Census Bureau"
158239,Land,"Address:
      
        3508 CASCADE CT/ 6615 CLEARWATER DR
              
        Locality:
    
                     27410 NC
            United States","3508 CASCADE CT/ 6615 CLEARWATER DR",,Oxford,27410,NC,Available,,,"39,999","1,500","38,999","2,500","37,999",3500.00,,,,"40,075",,,,✔,Granville,,2023-02-09,36.097732,-79.847044,0.95,range_interpolation,3508,"Cascade Ct",,6615,Greensboro,NC,"Guilford County",27410,US,"TIGER/Line® dataset from the US Census Bureau"
158233,Land,"Address:
      
        6614 Clearwater Dr
                  Lots 14 & 15
              
        Locality:
    
                     27565 NC
            United States","6614 Clearwater Dr","Lots 14 & 15",Salem,27565,NC,Available,,"Thursday, October 26, 2017","59,999","2,850","58,999","3,850","57,999",4850.00,,,,"80,150",,,,✔,Granville,,2023-02-09,36.374123,-78.590776,1,rooftop,6614,"Clearwater Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158235,Land,"Address:
      
        6609 Clearwater Ln
                  (AKA 6604 Clearwater Ln)
              
        Locality:
    
                     27565 NC
            United States","6609 Clearwater Ln","(AKA 6604 Clearwater Ln)",Salem,27565,NC,Available,,"Thursday, October 26, 2017","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"40,075",,,,✔,Granville,,2023-02-09,36.373942,-78.58963,0.95,range_interpolation,6609,"Clearwater Dr",,,Oxford,NC,"Granville County",27565,US,"TIGER/Line® dataset from the US Census Bureau"
158236,Land,"Address:
      
        6607 Clearwater Dr
              
        Locality:
    
                     27565 NC
            United States","6607 Clearwater Dr",,Salem,27565,NC,Available,,"Thursday, October 26, 2017","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"40,510",,,,✔,Granville,,2023-02-09,36.373422,-78.588957,1,rooftop,6607,"Clearwater Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158256,Land,"Address:
      
        3208 Scotch Pine Ct. Lot 245
              
        Locality:
    
                     27565 NC
            United States","3208 Scotch Pine Ct. Lot 245",,"Wake Forest",27565,NC,Available,,"Thursday, August 11, 2022","79,900","2,499","78,900","3,499","77,900",4499.00,,,,"69,696",,,,✔,Granville,,2023-02-08,36.046945,-78.613964,0.86,nearest_rooftop_match,3211,"Scotch Pine Tl",Lot,245,"Wake Forest",NC,"Granville County",27587,US,"NC Geographic Information Coordinating Council"
158240,Land,"Address:
      
        3510 CASCADE CT
              
        Locality:
    
                     27565 NC
            United States","3510 CASCADE CT",,Salem,27565,NC,Available,,"Thursday, March 15, 2018",,,,,,,,,,"46,173",,,,✔,Granville,,2023-02-09,36.374936,-78.587077,1,rooftop,3510,"Cascade Ct",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158280,Land,"Address:
      
        0 Seven Springs Subdivision
                  50+ Acres
              
        Locality:
    
                     27565 NC
            United States","0 Seven Springs Subdivision","50+ Acres",Salem,27565,NC,Available,,"Monday, December 17, 2018","379,999","20,000","377,999","24,999","374,999",29000.00,,,,,,,,✔,Granville,"Seven Springs",2023-02-09,36.348168,-78.65313,0.38,place,,,,,Oxford,NC,"Granville County",27565,US,"TIGER/Line® dataset from the US Census Bureau"
158243,Land,"Address:
      
        6629 Clearwater Dr
              
        Locality:
    
                     27565 NC
            United States","6629 Clearwater Dr",,Salem,27565,NC,Sold,"Gabriela Espinoza","Tuesday, February 28, 2023","39,999","1,500","38,999","2,500","37,999",3500.00,,,,"48,351",,,,✔,Granville,,2023-02-09,36.376875,-78.591494,1,rooftop,6629,"Clearwater Dr",,,Oxford,NC,"Granville County",27565,US,"NC Geographic Information Coordinating Council"
158234,Land,"Address:
      
        0 CASCADE CT & 0 PEBBLE LANE
              
        Locality:
    
                     27565 NC
            United States","0 CASCADE CT & 0 PEBBLE LANE",,Salem,27565,NC,Available,,"Thursday, February 14, 2019",,,,,,,,,,,,,,✔,Gransville,,2023-02-09,36.373792,-78.58963,0.76,intersection,,"Cascade Ct",,,Oxford,NC,"Granville County",27565,US,"TIGER/Line® dataset from the US Census Bureau"
